Activity,Tasks,Person(s) Responsible,Date,Notes,,Check List
공항 픽업 및 호텔 내 안내,호텔 컨텍,"윤정민 총무, 정민수 차세대 위원장",,"출발, 도착시간 확인",,"1. 공항 픽업 버스 루트 확인: 양쪽으로 픽업을 갈 수 있는지, 버스 2대를 양쪽을 보낼 수 있는지 확인"
,공항 South팀,"최제민 차세대 대표, 발룬티어 1, 정민수 차세대 위원장",,,,2. 호텔방 배정 리스트
,공항 West팀,"발룬티어 3, 윤정민 총무, 발룬티어 2",,,,3. 공항 드랍 때 같은 팀으로 움직이는지?
,Hotel 입구 안내,발룬티어 4,,,,
,호텔 체크인 ,발룬티어 5,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
일정표,,,,,,
Day 1 6월 25일 목요일,,,,,,
시간,진행 내용,세부 사항,담당,Note,,
10:00-12:30 ,사전준비 ,"운영팀/스태프 도착, 행사장 (리셉션, 개회식, 만찬, 교류회 공간) 사전 점검 (전 날 미리 셋업 완료)
테이블 배치 및 좌석 구성
등록 데스크 설치 (명찰, 등록 리스트, 웰컴 키트)
음향 / 마이크 / 발표 장비 체크",,,,
12:30-1:00,점심 ,운영팀 점심,,,,
1:00- 2:00,리허설 & 최종점검,"MC 및 발표자 리허설
개회식 순서 점검 (타이밍 체크)
공연팀 리허설 및 동선 확인
통역 필요 시 테스트
스태프 역할 브리핑",,,,
2:00- 2-40,등록 준비 완료 &대기,"등록 데스크 최종 세팅 완료
명찰/자료 재확인
웰컴 음료 준비
안내 스태프 위치 배치
배경 음악 및 분위기 세팅",,"등록은 2군데서, 가나다순서로 나눠서,  기념품은 명찰들고 오면 주는 것으로 확인",,
3:00-5:00 ,등록 및 hotel check in ,"참가자 도착 및 체크인 안내
명찰 및 웰컴 키트 배부
호텔 체크인 지원 (외국 참가자 케어 중요)
자유 네트워킹 (로비/라운지 활용)",전체,"* 지역별 명찰 구분. 현장 결제 시 필요한 Zelle QR code, email 프린트   외국참가회원 체크인을 위한 개개인 숙박 일정 리스트 준비",,
5:00-5:30 ,Welcome Reception,"간단한 핑거푸드 & 음료 제공
자연스러운 네트워킹 유도
MC가 가볍게 분위기 형성
주요 인사 소개 ",,,,
5:30-6:30,개회식,"개회 선언
주요 인사 환영사
행사 취지 및 프로그램 소개
단체 사진 (이 타이밍 또는 이후 가능)",,,,
6:30 - 8:30,환영 만찬 및 공연,"식사 진행 (코스)
중간 공연 진행 (문화 공연 추천)
",,,,
8:30-10:00,지회간 교류회 ,"교류회 목적 설명, 랜덤 테이블 구성, 자기 소개, 관심분야, 협업 가능 분야 공유",,,,
10:00,자유시간 ,,,,,
